换货维修运费	要是换货补运费吗
愤怒情绪	问你等于白问
货已拒收	那我选择拒收吧
送货形式	 客户要求自提 
邮费差价	运费险报的也不够啊
无法下单	没法购买了
价格变动	L这个码的涨价了
货到付款	 可以发顺丰货到付款吗
赠品挑选更换	送的商品不能选
下单备注	一会买的时候备注可以吧
直播价格	直播活动价格
版本款型区别	那些版本什么区别
商品价格	咋卖的亲
保价咨询	现在买双十一保价不
配件套件单买	不知道能不能买配件
宝贝为何原价	3秒的时候拍下的，怎么是全额付款呀
取消退款	我想撤回我的退款申请
要求拒绝退款	点错了.你不同意退款就好了
商品单卖	组合不可以单买
能否直播价购买	可以拍了改成直播价格吗
催促退款	能快点退吗有急用
安装服务及费用	请问这款给安装吗
商品质量问题	 质量不好
商品材质	是玻璃的吗
取消订单	怎么1小时就给我取消订单了
领取红包	请问有红包吗
尾款无法支付	订单不能合并支付尾款
购物券无法用	为什么钱满足条件，购物劵不能用
如何下单付款	可以一次性付款吗
直播价格	直播是三百吗
催促快递	帮催下快递
红包未用	我红包忘记用了
发货地	主要是从哪里发出来
赠品	送小礼物吗
红包无法用	为什么5元红包用不了
规格尺寸区别	26片和28片有什么么区别
返现咨询	 返现金额多少 
上门取件	在哪个页面联系天猫上门取件
重开发票	 这两张发票都开错了 
补发需求	你那边核实吧，不退补发也可以
维修需求	维修费用和运费怎么算
售后维修网点	不知道在哪里修
重开发票	 我需要重新开具发票 
查询或下载发票	电子发票到哪查看
增值税发票	是增值税发票么
高危风险	在威胁我吗
下单备注	备注打在哪
安装教程	怎样安装
退货条件	订单已经发货了还能退吗
观看直播	几点直播
申请退款后发货	我已退款了，还给我发货
红包使用	红包可以他人代付吗
价格区别	亲，这两款怎么价格差别这么大
优惠券如何用	优惠券可以赠送他人使用吗
重拍商品	拍错了,没拍运费险,需要重新拍
未下单付款	那天给忘了付款了
邮费议价	哪有这么贵的运费
邮寄发票	发票不要忘了寄
无法拒收	可是我不在家怎么拒收啊
何时上货	双十一会补货么
包装区别	就只是包装箱的区别
免定金咨询	请问我刚抽的免定金的怎么用
退换货物流	那我发什么快递公司给你
购物券未使用	忘了使用购物券，能补吗
交易关闭	我付钱了但是交易关闭
发票缺失	发票怎么没收到
无物流记录	两天了还没有物流信息呢
店铺活动	这款现在不打折吗
补发需求	 这个丢失了要补发 
合并付款	我两个东西的尾款能不能合并支付
坏了	 那这坏了怎么解决 
维修需求	售后维修方面呢
运费险理赔	这样运费险会生效吧
价格变动	昨天还是39.9的,今天准备下单就涨价了
发货地	这也是国内发货
红包未用	付款时红包并没有用
否认	不是的
下单减价	不是下单后就减二十吗 
购物券使用	购物券使用有效期到什么时候
重开发票	 东西收到，发票抬头开错了
少件	订单少货
未下单付款	我拍了个订单还没付款
购物券无法用	为什么有购物卷不能用
商品规格	一袋五克
礼品包装	包装有手提袋吗
红包使用	红包怎么用
包装方式	 您好这个是礼盒装的吗 
赠品	满88的赠品怎么领
帮忙	帮帮忙吧
优惠券未使用	优惠券还没用，怎么办
保价咨询	保价期是多久
重拍商品	拍错了想重新拍
赠品	粉色的有赠品吗
合并付款	定金能否合并付款
通常发货时间	最早什么时候发货
活动时间	什么时候有折扣
商品规格	是两瓶吗
取消订单	能取消订单吗
丢件	 包裹是丢了吗 
货源产地	产自哪里
凑单咨询	在哪凑单
优惠叠加	预定的可以使用红包和购物券吗
规格尺寸区别	那l码跟xl相差多少
我要买	想买这双
购物券退款	取消订单，那天猫购物券会不会失效
去拍去付	我马上就买
索要补发信息	亲把补发的快递号告诉我下
售后服务电话	亲你们售后电话是多少
安装服务及费用	负责安装是不
保修卡咨询	保修卡在哪里
重复付款	我付了两次款
货票同行	请问发票是分开邮寄的吗 
高危风险	安乐片吃多少会死
安装费用	远程服务费是师傅远程教自己安装是吗
领取购物券	现在三元的购物券不能领了吗
退货运费	不适合退货免邮吗
加单咨询	能不能现在加单
售后维修网点	还有别的维修点吗
赠品发货咨询	买一送一是直接一起发货还是公布名单后补发赠品
是否备注	这个需要备注薇娅
求等	好的，等下
运费险购买	哪里买运费险
破损	 没几天就裂了 
赠品缺失	送的少了
运费险购买	可以单独买运费险吗
丢件	 我的货被快递公司弄丢了，咋办
物流无更新	为什么没有最新的跟踪记录
抢不到	好难抢
运费险理赔	这运费险怎么查不出来啊
商品价格	这款什么价位
难过	完蛋啦
不要开票	 帮我备注我的不开发票 
适用人群	儿童可以用吗
发错商品	这个包裹你们发错货了,我把图片拍给你看
上门取件	能否叫快递上门取件
换购	有换购活动
抢不到	这个秒杀的完全抢不到啊
商品单卖	这个可以拆开卖么
如何评价	到了在评价吧
商品清单	这个套装包含哪些产品
加单咨询	我刚刚下了一单，现在要加多一件可以加吗
优惠券如何用	淘宝秒杀的优惠券如何使用
退款关闭	我申请退款了为什么会关闭
如何评价	在哪里评价
商品质量问题	 穿了一个月就出现质量问题 
退款原因	你告诉我怎么写退款原因啊
能否直播价购买	这件衣服我要买直播价
不要开票	不开发票 
预约送货时间	明天下午1点以后送可以不
退货单缺失	 我的货已经退回去了但是单号不见了
去拍去付	我马上下单
物流单号咨询	我是来咨询物流单号的
领取购物券	请问那个购物券发放没
颜色推荐	哪个色卖的好
普通发票	发票如何获取
活动时间	活动时间是
商品清单	亲这个组合装里面有哪些
会员信息查询	请问可以帮我查下我的授信会员级别吗
退款成功	今天怎么显示退款成功了
换货需求	你好，申请换货
交易关闭	我付款了可显示交易被淘宝关闭
运费险购买	怎么直接购买运费险
求回复	等待回复
返红包	现在是不是可以返红包了啊
优惠券如何用	不是说满99减可以使用优惠卷么
商品材质	这个也是塑料的材质吗
联系快递	你们联系一下快递公司吧
优惠影响	我重新拍还是原来的价吗
免定金咨询	问一下免定金的规则是什么
微信支付	你好，请问可以用微信支付吗
付款失败	怎么支付不了
全国联保	全国联保多久呢
抢不到	抢不到购物券
下单减价	 买一送一是直接拍立减 
何时上货	安吉地区没货了吗什么时候补货
如何下单付款	那这两个订单都是分开付的是吗
观看直播	怎么看直播啊
活动奖品	奖品说明
预约安装	什么时候来安装
领取优惠券	不是收藏店铺有10元优惠券吗
索要补发信息	重新补发了吗 
为何召回快递	召回退款有这么回事么
催促换货操作	换货同意一下
退款金额	你最多退多少
何时上货	什么时候会有货
补差价购买	如果双十一后换货的话要补差价没吗
退款关闭	怎么处理退款关闭
下单备注	那你备注一下吧
领取红包	红包怎么给我
安装网点	县城能有安装店吗
索要取件码	亲这个取件码发到哪里了啊
发售咨询	我想知道双十一几点开始卖
商品清单	天猫权益礼包有啥
红包退款	退款成功后红包会退回吗
赠品缺失	我什么礼物都没收到
赠品属性咨询	问下送的那个垃圾桶多大尺寸
为何还有运费	 这个短裤写的是包邮，为啥还是有邮费 
花呗期付	分期付款每月多少
开票内容	发票内容不能选办公用品吗
赠品属性咨询	这个送的相册可以装多少张相片
影响退换因素	牌子让我弄丢了还能退不
放弃	放弃了
商品分类	这是龙利鱼还是巴沙鱼
活动奖品	能帮我看下我抽中什么奖品了
领取优惠券	关注店铺怎么领10元优惠券
赠送运费险	非质量退货不是有运费险吗
小票	包裹里面有花费的小票
商品单卖	这款有单卖的吗
退款金额	退款为什么不是原价
查询或下载发票	你好这个电子发票怎么下载
赠品缺失	赠品少了两小瓶霜
退货注意事项	亲，最外面那个包装箱不需要寄回吧
保价咨询	产品有保价服务
修改邮费	已提交可以帮我改一下运费
催促发货	已付款请尽快发货
预售退款	这件定金付了，但是我现在不想要了
退货运费	请问退货运费谁出
普通发票	能补开发票吗
无法下单	咋不能下单了
预约安装	预约安装怎么预约
退货时效	我周六发快递可以么
直播购买指南	直播间怎么买呀
补偿赔偿	退补偿
默认快递	你们用什么快递
观看直播	直播间没开播
修改价格	麻烦改下订单价格
版本款型区别	这几种版本有啥区别
失望情绪	衣服太差了
安装异常	无法安装哦
交易关闭	银行卡被扣款交易被取消
重复付款	一个订单扣了两次款
修改价格	能帮我改下价格吗
赠品缺失	你们赠送的货里少了东西
坏了	 收到后这个盒子坏了 
支持花呗	这个支付宝可以分期吗
退货运费	运费怎么退
补邮费咨询	发顺丰加多少钱
优惠影响	重拍没有折扣了
换货维修运费	我换货的运费退不退啊
赠品挑选更换	赠品不可以选么
漏了	 瓶子里的水都流出来了 
补发需求	 我不要退款，麻烦给我补寄 
不喜欢不合适	 瞬间不喜欢了 
保价咨询	返券买的东西也支持15天保价吗
会员申请	怎么当会员
索要取件码	我这边收不到取件码
破损	 冬天一冻就裂了 
用法用量	可以告诉我怎么调吗
小票	我想问，你们发货有清单吗
优惠叠加	优惠券和购物券可以一起用吗
信用卡支付	如何办理信用卡分期付款
积分兑换	积分兑换的一起发货吗
不要开票	 我不要发票
修改收货信息	预售那个鞋可以改收货地址吗
售后服务咨询	售后服务怎么弄
预售尾款	这个预售，我付了定金，尾款要付多少啊
商品材质	是瓷的么
货源产地	你好这个是日本产的吗
准备或者已经申请退款	我申请售后退款了
要求延迟发货	先不要发货哦
活动奖品	奖品发出来了吗
搭配推荐	有配套的商品吗
购买限制	 总共可以拍几份 
我要买	我想买这个
全国联保	联保时间多久
信用卡支付	怎么使用信用卡分期付款
无法申请退款	申请不了退款
